Date,Open,High,Low,Close,Adj Close,Volume
2019-06-26,0.096357,0.106910,0.096212,0.096820,0.096820,340512938
2019-06-27,0.097757,0.099549,0.082644,0.086449,0.086449,253512191
2019-06-28,0.086482,0.089691,0.084860,0.089295,0.089295,195954056
2019-06-29,0.089297,0.091089,0.084734,0.090422,0.090422,169271858
2019-06-30,0.090486,0.091168,0.082098,0.082098,0.082098,161855807
2019-07-01,0.082098,0.085895,0.080504,0.083822,0.083822,168654990
2019-07-02,0.083800,0.084598,0.076777,0.081077,0.081077,180980795
2019-07-03,0.081033,0.083792,0.080197,0.082998,0.082998,154492406
2019-07-04,0.083007,0.083007,0.077588,0.077774,0.077774,142713204
2019-07-05,0.077805,0.078091,0.076027,0.076532,0.076532,116391599
2019-07-06,0.076518,0.080290,0.076289,0.077335,0.077335,128961683
2019-07-07,0.077346,0.080261,0.076982,0.079964,0.079964,104984613
2019-07-08,0.079932,0.082259,0.079004,0.080476,0.080476,114339528
2019-07-09,0.080452,0.080821,0.077354,0.077993,0.077993,122935384
2019-07-10,0.078012,0.078322,0.069825,0.071940,0.071940,119999742
2019-07-11,0.071934,0.072011,0.063015,0.065199,0.065199,118873479
2019-07-12,0.065181,0.070841,0.063617,0.069754,0.069754,118155306
2019-07-13,0.069805,0.070919,0.064567,0.066770,0.066770,101320396
2019-07-14,0.066795,0.067184,0.059371,0.059429,0.059429,101190601
2019-07-15,0.059413,0.060300,0.055501,0.059537,0.059537,123473435
2019-07-16,0.059516,0.060983,0.050817,0.052052,0.052052,103254765
2019-07-17,0.051953,0.057911,0.050071,0.055239,0.055239,97931569
2019-07-18,0.055235,0.059512,0.053556,0.058772,0.058772,88644359
2019-07-19,0.058772,0.060806,0.056659,0.059787,0.059787,63433080
2019-07-20,0.059808,0.065132,0.059633,0.062958,0.062958,71844245
2019-07-21,0.062944,0.064214,0.059642,0.061203,0.061203,53461725
2019-07-22,0.061208,0.062067,0.058259,0.059466,0.059466,53620676
2019-07-23,0.059463,0.059556,0.055402,0.055812,0.055812,59728000
2019-07-24,0.055812,0.059116,0.054027,0.059046,0.059046,60954091
2019-07-25,0.059073,0.060573,0.058392,0.058664,0.058664,46420719
2019-07-26,0.058678,0.062913,0.057062,0.062884,0.062884,57109967
2019-07-27,0.062884,0.063677,0.057497,0.059871,0.059871,55521873
2019-07-28,0.059875,0.060000,0.057163,0.059474,0.059474,30475480
2019-07-29,0.059379,0.061975,0.058410,0.060393,0.060393,42220706
2019-07-30,0.060414,0.061180,0.058826,0.059944,0.059944,32759716
2019-07-31,0.059942,0.060914,0.059405,0.060152,0.060152,47344104
2019-08-01,0.060160,0.060288,0.057984,0.058872,0.058872,44730276
2019-08-02,0.058864,0.058936,0.056647,0.057412,0.057412,50056238
2019-08-03,0.057417,0.058365,0.056921,0.057763,0.057763,37149597
2019-08-04,0.057770,0.058185,0.056193,0.056271,0.056271,45039556
2019-08-05,0.056270,0.058363,0.056128,0.056680,0.056680,54461468
2019-08-06,0.056652,0.056678,0.053005,0.053369,0.053369,48272768
2019-08-07,0.053374,0.054075,0.051444,0.051906,0.051906,46290310
2019-08-08,0.051906,0.052933,0.050434,0.051970,0.051970,47971636
2019-08-09,0.051910,0.052058,0.047473,0.047641,0.047641,43195564
2019-08-10,0.047641,0.053137,0.047608,0.051981,0.051981,64446721
2019-08-11,0.051992,0.055928,0.051947,0.054981,0.054981,58526307
2019-08-12,0.054796,0.054796,0.052649,0.052938,0.052938,35518598
2019-08-13,0.052932,0.053012,0.050009,0.052561,0.052561,48509716
2019-08-14,0.052554,0.053496,0.046968,0.047000,0.047000,65540879
2019-08-15,0.047090,0.048017,0.045497,0.047519,0.047519,43373582
2019-08-16,0.047536,0.047536,0.044860,0.046841,0.046841,44228391
2019-08-17,0.046869,0.048045,0.046338,0.047393,0.047393,34826995
2019-08-18,0.047424,0.051209,0.047047,0.050731,0.050731,38253394
2019-08-19,0.050725,0.050813,0.049686,0.050298,0.050298,32307052
2019-08-20,0.050251,0.050331,0.048842,0.049195,0.049195,32132614
2019-08-21,0.049226,0.049226,0.046046,0.047113,0.047113,43633315
2019-08-22,0.047153,0.051161,0.046739,0.049410,0.049410,60163312
2019-08-23,0.049410,0.050267,0.048903,0.049790,0.049790,54095276
2019-08-24,0.049802,0.051191,0.048315,0.050177,0.050177,87164790
2019-08-25,0.050170,0.052605,0.048712,0.049439,0.049439,104616408
2019-08-26,0.049454,0.050944,0.048893,0.049697,0.049697,86216611
2019-08-27,0.049706,0.049950,0.048180,0.049839,0.049839,38041608
2019-08-28,0.049863,0.050333,0.045702,0.045825,0.045825,65386760
2019-08-29,0.045835,0.045835,0.043396,0.044697,0.044697,53919498
2019-08-30,0.044716,0.045856,0.044254,0.044825,0.044825,51959377
2019-08-31,0.044824,0.045585,0.044082,0.044990,0.044990,44165774
2019-09-01,0.044952,0.045357,0.043729,0.044543,0.044543,31928554
2019-09-02,0.044555,0.046113,0.043422,0.045362,0.045362,42959888
2019-09-03,0.045376,0.047399,0.044786,0.046771,0.046771,63769389
2019-09-04,0.046784,0.046789,0.045217,0.045517,0.045517,40737362
2019-09-05,0.045504,0.045543,0.043959,0.044437,0.044437,47778879
2019-09-06,0.044437,0.044763,0.043793,0.044415,0.044415,44478144
2019-09-07,0.044426,0.046585,0.043849,0.046198,0.046198,40837132
2019-09-08,0.046211,0.047653,0.046211,0.046719,0.046719,46948887
2019-09-09,0.046706,0.047211,0.045501,0.046931,0.046931,64445050
2019-09-10,0.046903,0.048140,0.045915,0.046510,0.046510,48839823
2019-09-11,0.046496,0.046639,0.044586,0.044990,0.044990,51727434
2019-09-12,0.044993,0.046414,0.044423,0.045452,0.045452,43222873
2019-09-13,0.045462,0.045795,0.044963,0.045753,0.045753,38257028
2019-09-14,0.045758,0.047088,0.044961,0.046524,0.046524,51690256
2019-09-15,0.046507,0.047114,0.046231,0.046799,0.046799,41237028
2019-09-16,0.046815,0.047662,0.046099,0.047071,0.047071,45484816
2019-09-17,0.047110,0.050429,0.047106,0.049008,0.049008,85720809
2019-09-18,0.048949,0.054921,0.048866,0.053292,0.053292,138254972
2019-09-19,0.053296,0.054614,0.049907,0.052504,0.052504,129365460
2019-09-20,0.052491,0.052557,0.050520,0.052340,0.052340,96532515
2019-09-21,0.052335,0.053348,0.051348,0.051922,0.051922,81964425
2019-09-22,0.051894,0.051954,0.047857,0.049111,0.049111,86152016
2019-09-23,0.049045,0.049555,0.046264,0.046264,0.046264,70372238
2019-09-24,0.046259,0.046666,0.036023,0.037573,0.037573,118474845
2019-09-25,0.037610,0.040334,0.036352,0.039396,0.039396,126192409
2019-09-26,0.039412,0.040287,0.035643,0.038229,0.038229,98838746
2019-09-27,0.038230,0.039924,0.037209,0.039532,0.039532,80670014
2019-09-28,0.039510,0.039766,0.038445,0.038827,0.038827,39805245
2019-09-29,0.038828,0.038917,0.036642,0.037486,0.037486,43311030
2019-09-30,0.037474,0.039287,0.036422,0.038885,0.038885,57274489
2019-10-01,0.038886,0.039958,0.038396,0.038507,0.038507,38320345
2019-10-02,0.038507,0.039516,0.037868,0.039445,0.039445,36838965
2019-10-03,0.039400,0.039728,0.037876,0.038361,0.038361,37098921
2019-10-04,0.038362,0.040385,0.037912,0.039667,0.039667,48050293
2019-10-05,0.039655,0.039993,0.038844,0.039730,0.039730,37111642
2019-10-06,0.039713,0.040323,0.038851,0.039324,0.039324,38119872
2019-10-07,0.039305,0.041898,0.038630,0.041672,0.041672,69132008
2019-10-08,0.041676,0.042180,0.040505,0.041441,0.041441,56654019
2019-10-09,0.041442,0.043313,0.040972,0.042629,0.042629,61997644
2019-10-10,0.042629,0.042641,0.040856,0.041661,0.041661,51703356
2019-10-11,0.041701,0.042165,0.040562,0.040623,0.040623,46907954
2019-10-12,0.040540,0.041236,0.040482,0.040542,0.040542,34809571
2019-10-13,0.040540,0.041801,0.040512,0.041325,0.041325,34184264
2019-10-14,0.041325,0.042162,0.041110,0.041789,0.041789,41060020
2019-10-15,0.041796,0.041948,0.039367,0.039766,0.039766,47200973
2019-10-16,0.039760,0.039952,0.037804,0.038741,0.038741,44617563
2019-10-17,0.038726,0.039533,0.038169,0.039524,0.039524,36229682
2019-10-18,0.039527,0.039594,0.037591,0.038073,0.038073,39606481
2019-10-19,0.038079,0.039672,0.037832,0.039225,0.039225,40431590
2019-10-20,0.039217,0.039619,0.038443,0.039529,0.039529,33137956
2019-10-21,0.039543,0.039559,0.038694,0.039280,0.039280,36963295
2019-10-23,0.038815,0.038815,0.038657,0.038657,0.038657,39229288
